"id","name","type","region","city","address","lat","lng","targetFish","tideNote","depthNote","bottomNote","methodNote","safetyStatus","sourceType","sourceUrl","sourceCheckedAt","originalId","originalPoint","note"
"boat-12","돌산도 - 내치도부근해상","boat-fishing-point","전라남도","여수시","전라남도 여수시","34.694833","127.785944","참돔|농어|노래미|볼락|우럭|붕장어","초들물~중날물","0.7~4.7","펄","▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","12","POINT (1026189.44013057 1633424.27087276)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-13","남해도 북부 - 난초섬부근","boat-fishing-point","경상남도","남해군","경상남도 남해군","34.904278","127.826778","참돔|농어|노래미|볼락|우럭","초들물~중날","3.3~8.5","암","▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","13","POINT (1029853.75517302 1656661.61234994)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-14","남해도 남부 - 가천마을앞바다","boat-fishing-point","경상남도","남해군","경상남도 남해군","34.717139","127.903556","참돔|농어|노래미|볼락|우럭","초들물~중날물","21.9~24.0","암","▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","14","POINT (1036951.4990975 1635934.66828281)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-15","남해도 남부 - 조도부근해상","boat-fishing-point","경상남도","남해군","경상남도 남해군","34.693861","128.042694","참돔|농어|노래미|볼락|우럭","초들물~중날물","22.6~24.3","모래/ 조개껍질","▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","15","POINT (1049705.75825059 1633413.25317591)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-16","두미도 - 고운마을앞해상","boat-fishing-point","경상남도","통영시","경상남도 통영시","34.712139","128.177861","감성돔|벵에돔|노래미|참돔|농어|볼락","상관없음","60","펄","▶감성돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","16","POINT (1062072.30219833 1635515.20049562)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-17","독거군도 부근 - 간암여해상","boat-fishing-point","전라남도","진도군","전라남도 진도군","34.228622","126.168744","참돔|감성돔|돌돔|광어|농어","1물~4물","23.5~29m","암","▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 돌돔 - 릴찌/ 장대/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","17","POINT (877387.633817287 1582491.87447702)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-18","추자군도 - 하추자도와청도사이","boat-fishing-point","제주특별자치도","제주시","제주특별자치도 제주시","33.921882","126.329064","감성돔|벵에돔|참돔|돌돔|볼락|부시리","조금 전후/ 1~4물","20.2~21m","암","▶ 감성돔 - 릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔 - 부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","18","POINT (891764.868198976 1548296.72734999)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-37","풍도·난지도 - 풍도남동측바다","boat-fishing-point","경기도","안산시","경기도 안산시","37.084194","126.412861","넙치|노래미|농어|붕장어|우럭","사리 전·후","26m~28m","모래","▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","37","POINT (903375.81615311 1898950.16561327)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-19","황제도 - 소마도해상","boat-fishing-point","전라남도","완도군","전라남도 완도군","34.202459","127.152346","감성돔|참돔|돌돔|농어|광어|볼락","조금 전후/ 2~3물","22~26m","암","▶ 감성돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 돌돔 - 릴찌/ 장대/ 원투▶ 농어 - 루어/ 릴찌▶ 광어 - 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","19","POINT (967971.165062666 1578844.25138539)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-20","간수제도 - 갈퀴섬해상","boat-fishing-point","전라남도","여수시","전라남도 여수시","34.234357","127.466305","감성돔|참돔|돌돔|우럭|노래미|농어|숭어|삼치|문어","사리를 피한 조금 이후","14.8~29.5m","펄/ 모래","▶ 감성돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 돌돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 노래미 - 루어/ 릴찌/ 장대/ 원투▶ 농어 - 루어/ 릴찌▶ 숭어 - 릴찌/ 장대/ 훌치기▶ 삼치 - 루어/ 릴찌▶ 문어 - 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","20","POINT (996896.883448697 1582326.9703081)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-21","진주만 부근 - 삼천포대교밑","boat-fishing-point","경상남도","고성군","경상남도 고성군","34.927812","128.051799","감성돔|노래미|볼락|농어|도다리|갑오징어","13물-4물/ 초들물","10.4~11.1m","암","▶ 감성돔 - 릴찌/ 장대/ 원투▶ 노래미 - 루어/ 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 농어 - 루어/ 릴찌▶ 도다리 - 원투▶ 갑오징어 - 에깅","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","21","POINT (1050397.0600807 1659361.65839075)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-22","연화도 부근 - 연화항부근해상","boat-fishing-point","경상남도","통영시","경상남도 통영시","34.652536","128.348980","참돔|감성돔|볼락|벵에돔|농어","초들물/ 초날물/ 5물~6물/ 조금","9.7~18m","암","▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 농어 - 루어/ 릴찌","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","22","POINT (1077797.92863656 1629024.40851285)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-23","흑산도·삼태도 - 대흑산도호장도부근","boat-fishing-point","전라남도","신안군","전라남도 신안군","34.710972","125.411278","감성돔|넙치|농어|돌돔|붕장어|우럭|참돔","조금 전·후","26.5m~30m","펄/ 모래","▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","23","POINT (808717.858365377 1637162.6487013)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-24","두미도 - 북구마을앞해상","boat-fishing-point","경상남도","통영시","경상남도 통영시","34.711139","128.184306","감성돔|벵에돔|노래미|참돔|농어|볼락","상관없음","60","펄","▶감성돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","24","POINT (1062663.19453728 1635408.30170235)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-25","말도·방축도 - 말도등대앞바다","boat-fishing-point","전라북도","군산시","전라북도 군산시","35.862750","126.316056","넙치|노래미|농어|도다리|우럭","들물/ 썰물 전·후","26m~30.5m","모래/ 조개껍질","▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶도다리 - 원투 ▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","25","POINT (893106.909814407 1763557.6412033)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-26","청산도·대모도 - 장도부근","boat-fishing-point","전라남도","완도군","전라남도 완도군","34.205889","126.838139","감성돔|농어|돌돔|볼락|우럭|참돔","4물~사리","19m~20m","조개껍질/ 펄","▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","26","POINT (939025.917370826 1579367.88002043)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-27","비진도·매물도 - 소매물도등가도부근","boat-fishing-point","경상남도","통영시","경상남도 통영시","34.612778","128.596944","감성돔|돌돔|볼락|우럭|벵에돔|참돔","조금 전·후","38m~42m","펄/ 모래","▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶우럭 - 릴찌/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶참돔 - 부력/ 잠수","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","27","POINT (1100569.44765422 1624834.83102067)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-28","돌산도 - 밤섬남측해상","boat-fishing-point","전라남도","여수시","전라남도 여수시","34.608167","127.752333","참돔|농어|노래미|볼락|우럭|붕장어","초들물~중날물","4.5~10.7","펄","▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","28","POINT (1023135.08179136 1623805.55506282)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-29","제주도 남부 - 강정포구앞노란부표부근","boat-fishing-point","제주특별자치도","서귀포시","제주특별자치도 서귀포시","33.222389","126.493750","벵에돔|한치|노래미|독가시치|부시리|우럭","초들물~중날물","14.6~18.0","암","▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶한치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶독가시치 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","29","POINT (906234.903751785 1470577.56177796)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-30","장봉도 - 비가지(날가지도)부근","boat-fishing-point","인천광역시","옹진군","인천광역시 옹진군","37.522833","126.317972","넙치|노래미|망둑어|숭어|우럭","조금 전·후/ 3물~5물","6m~11m","모래/ 펄","▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶망둑어 - 원투 ▶숭어 - 릴찌/ 장대/ 훌치기▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","30","POINT (895550.366472451 1947715.79751618)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-31","원산도·삽시도 - 물건서부근","boat-fishing-point","충청남도","보령시","충청남도 보령시","36.361639","126.316833","감성돔|갑오징어|넙치|농어|우럭|주꾸미","조금 전·후","15m~19m","모래/ 펄","▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶우럭 - 릴찌/ 원투 ▶주꾸미 - 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","31","POINT (893850.725329207 1818895.53539595)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-32","자월도 - 굴뿌리앞바다","boat-fishing-point","인천광역시","옹진군","인천광역시 옹진군","37.258472","126.353306","농어|우럭","들물/ 날물","27m~30m","모래","▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","32","POINT (898316.2055189911 1918347.21163206)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-33","덕적도·소야도 - 선미도부근","boat-fishing-point","인천광역시","옹진군","인천광역시 옹진군","37.278389","126.073222","넙치|노래미|농어|붕장어|우럭","조금 전·후","10m~15m","모래","▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 루어/ 릴찌","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","33","POINT (873511.726706892 1920894.67529183)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-34","덕적도·소야도 - 용담갑앞바다","boat-fishing-point","인천광역시","옹진군","인천광역시 옹진군","37.216111","126.080889","넙치|노래미|농어|붕장어|우럭","조금 전·후","30m~35m","가는모래","▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 루어/ 릴찌","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","34","POINT (874087.8381537661 1913974.91121491)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-35","문갑도·선갑도 - 문갑도할미취부근","boat-fishing-point","인천광역시","옹진군","인천광역시 옹진군","37.186722","126.121250","넙치|노래미|농어|우럭","조금 전·후","7.8m~10m","가는 모래","▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","35","POINT (877621.6617394991 1910661.44240225)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-36","백아도·굴업도 - 굴업도동뿌리앞바다","boat-fishing-point","인천광역시","옹진군","인천광역시 옹진군","37.198833","125.999194","넙치|노래미|농어|붕장어|우럭","1~3물/ 조금 전·후","40m~43m","가는 모래","▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","36","POINT (866808.598324528 1912169.72599231)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-38","원산도·삽시도 - 면삽지앞바다","boat-fishing-point","충청남도","보령시","충청남도 보령시","36.343972","126.331139","감성돔|갑오징어|넙치|농어|우럭|주꾸미","조금 전·후","5.2m~6.1m","모래/ 조개껍질","▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶우럭 - 릴찌/ 원투▶주꾸미 - 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","38","POINT (895110.5224044711 1816920.18421103)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-39","호도·녹도·외연도 - 모도부근","boat-fishing-point","충청남도","보령시","충청남도 보령시","36.271778","126.247333","감성돔|갑오징어|넙치|농어|노래미|우럭","초들물","13.7m~16m","모래","▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","39","POINT (887486.0641537431 1809005.97542139)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
